epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,690.674,1.11393,0.89041,1.32581,0.63207,0.45895,0.50284,0.27548,2.24281,2.18913,2.47481,0.00060945,0.00060945,0.00060945
116,696.599,1.10723,0.89941,1.30408,0.53909,0.46755,0.46427,0.22503,2.36429,2.27608,2.61263,0.000605051,0.000605051,0.000605051
117,702.186,1.1574,0.97235,1.35447,0.42398,0.53474,0.4581,0.26307,2.25201,2.33518,2.44437,0.000600651,0.000600651,0.000600651
118,707.734,1.12529,0.96316,1.3209,0.58935,0.52594,0.49745,0.26439,2.33914,2.46989,2.549,0.000596251,0.000596251,0.000596251
119,713.538,1.11664,0.91688,1.31526,0.64827,0.52415,0.50974,0.26664,2.16819,2.63624,2.42276,0.000591852,0.000591852,0.000591852
120,718.915,1.09695,0.94057,1.29793,0.67935,0.40266,0.44583,0.235,2.28025,2.64442,2.55022,0.000587452,0.000587452,0.000587452
121,725.096,1.11938,0.88319,1.28841,0.55497,0.43378,0.43949,0.22501,2.28992,2.55273,2.53339,0.000583053,0.000583053,0.000583053
122,730.554,1.14743,0.88526,1.30008,0.57781,0.44088,0.41773,0.2104,2.48803,2.55152,2.7681,0.000578653,0.000578653,0.000578653
123,736.718,1.12406,0.90462,1.2706,0.67464,0.52649,0.50508,0.23509,2.31071,2.32406,2.51955,0.000574254,0.000574254,0.000574254
124,741.939,1.11214,1.0357,1.3311,0.62845,0.52342,0.50868,0.24914,2.31042,2.4303,2.48357,0.000569854,0.000569854,0.000569854
125,747.894,1.06218,0.83824,1.26953,0.59306,0.44621,0.49459,0.25173,2.38128,2.44742,2.63354,0.000565455,0.000565455,0.000565455
126,753.541,1.11323,0.90526,1.28231,0.68654,0.43199,0.47116,0.24558,2.34959,2.24113,2.55073,0.000561055,0.000561055,0.000561055
127,759.277,1.15081,0.95067,1.38782,0.59471,0.46093,0.48515,0.2585,2.36768,2.23957,2.60919,0.000556655,0.000556655,0.000556655
128,765.219,1.22219,1.11896,1.48252,0.6908,0.41811,0.48804,0.24305,2.26199,2.32777,2.50872,0.000552256,0.000552256,0.000552256
129,770.611,1.04342,0.87528,1.2297,0.66343,0.4941,0.50342,0.21562,2.37686,2.43371,2.62503,0.000547856,0.000547856,0.000547856
130,776.621,1.07344,0.82247,1.27233,0.59295,0.52544,0.52327,0.24517,2.41138,2.37305,2.67712,0.000543457,0.000543457,0.000543457
131,782.733,1.0394,0.83312,1.24972,0.61635,0.55636,0.53673,0.27504,2.34718,2.3066,2.61764,0.000539057,0.000539057,0.000539057
132,788.47,1.03247,0.86555,1.26176,0.70751,0.58522,0.55526,0.29636,2.29744,2.25649,2.54287,0.000534658,0.000534658,0.000534658
133,794.712,1.02132,0.80259,1.23043,0.59181,0.57784,0.55764,0.29634,2.31631,2.2209,2.54612,0.000530258,0.000530258,0.000530258
